Domain	GOA file	TaxID	Proteome file	Scientific Name
Bacteria	1556273.T_daxensis.goa	869279	UP000050544_869279.fasta	Thermanaerothrix daxensis
Bacteria	1567228.L_sp_CT6.goa	1610491	UP000050580_1610491.fasta	Lampropedia cohaerens
Bacteria	16.D_radiodurans.goa	243230	UP000002524_243230.fasta	Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / LMG 4051 / NBRC 15346 / NCIMB 9279 / R1 / VKM B-1422)
Bacteria	1642.B_anthracis_Ames_ancestor.goa	1392	UP000000594_1392.fasta	Bacillus anthracis
Bacteria	1653374.S_cluster_bacterium_PRT-SC02.goa	1527298	UP000050662_1527298.fasta	SAR11 cluster bacterium PRT-SC02
Bacteria	1654822.H_sp_IMCC20628.goa	1620421	UP000050665_1620421.fasta	Hoeflea sp. IMCC20628
Bacteria	1663835.M_sp_LC103.goa	1120658	UP000050670_1120658.fasta	Aquamicrobium sp. LC103
Eukaryota	17.D_melanogaster.goa	7227	UP000000803_7227.fasta	Drosophila melanogaster
Bacteria	18.E_coli_MG1655.goa	83333	UP000000625_83333.fasta	Escherichia coli (strain K12)
Bacteria	1840572.P_sp_CECT_5382.goa	1712645	UP000050782_1712645.fasta	Phaeobacter sp. CECT 5382
Bacteria	1913371.M_sp_Root180.goa	1736483	UP000050802_1736483.fasta	Microbacterium sp. Root180
Bacteria	1913419.L_sp_Root96.goa	1736612	UP000050805_1736612.fasta	Lysobacter sp. Root96
Bacteria	1913631.C_sp_Leaf261.goa	1736311	UP000050821_1736311.fasta	Curtobacterium sp. Leaf261
Bacteria	1914158.E_sp_Leaf53.goa	1736225	UP000050856_1736225.fasta	Erwinia sp. Leaf53
Bacteria	1914253.A_sp_Leaf324.goa	1736336	UP000050862_1736336.fasta	Aureimonas sp. Leaf324
Bacteria	1914318.L_camelliae_DSM_22697_=_JCM_13995.goa	1423730	UP000050865_1423730.fasta	Lacticaseibacillus camelliae DSM 22697 = JCM 13995
Bacteria	1914330.S_vitaminophilus.goa	76728	UP000050867_76728.fasta	Streptomyces vitaminophilus
Bacteria	1914336.R_sp_Leaf296.goa	1736327	UP000050868_1736327.fasta	Rathayibacter sp. Leaf296
Bacteria	1914507.N_sp_Root190.goa	1736488	UP000050886_1736488.fasta	Nocardioides sp. Root190
Bacteria	1914593.N_sp_Leaf2.goa	1735670	UP000050893_1735670.fasta	Novosphingobium sp. Leaf2
Bacteria	1914818.L_kimchicus_JCM_15530.goa	1302272	UP000050911_1302272.fasta	Schleiferilactobacillus kimchicus JCM 15530
Bacteria	1914939.B_sp_Root1279.goa	1736443	UP000050923_1736443.fasta	Brevundimonas sp. Root1279
Bacteria	1915146.L_secaliphilus.goa	396268	UP000050934_396268.fasta	Limosilactobacillus secaliphilus
Bacteria	1915170.B_sp_Root381.goa	1736524	UP000050937_1736524.fasta	Bosea sp. Root381
Bacteria	1915191.S_daejeonensis.goa	659018	UP000050940_659018.fasta	Stenotrophomonas daejeonensis
Bacteria	1915699.L_sp_Leaf336.goa	1736341	UP000050966_1736341.fasta	Leifsonia sp. Leaf336
Bacteria	1915725.L_saniviri_JCM_17471_=_DSM_24301.goa	1293598	UP000050969_1293598.fasta	Lacticaseibacillus saniviri JCM 17471 = DSM 24301
Bacteria	1915751.A_sp_Root472D3.goa	1736540	UP000050971_1736540.fasta	Aeromicrobium sp. Root472D3
Bacteria	1915882.B_sp_Leaf344.goa	1736346	UP000050986_1736346.fasta	Bosea sp. Leaf344
Bacteria	1916062.D_sp_Root413D1.goa	1736531	UP000051002_1736531.fasta	Devosia sp. Root413D1
Bacteria	1916093.F_sp_Leaf164.goa	1736282	UP000051005_1736282.fasta	Frigoribacterium sp. Leaf164
Bacteria	1916155.L_agilis_DSM_20509.goa	1423718	UP000051008_1423718.fasta	Ligilactobacillus agilis DSM 20509
Bacteria	1916366.F_sp_Leaf359.goa	1736351	UP000051024_1736351.fasta	Flavobacterium sp. Leaf359
Bacteria	1916740.L_hayakitensis_DSM_18933_=_JCM_14209.goa	1423755	UP000051054_1423755.fasta	Ligilactobacillus hayakitensis DSM 18933 = JCM 14209
Bacteria	1916854.D_sp_Root436.goa	1736537	UP000051058_1736537.fasta	Devosia sp. Root436
Bacteria	1917006.L_sp_Root60.goa	1736567	UP000051073_1736567.fasta	Leifsonia sp. Root60
Bacteria	1917080.S_sp_Leaf357.goa	1736350	UP000051080_1736350.fasta	Sphingomonas sp. Leaf357
Bacteria	1917133.L_equigenerosi_DSM_18793_=_JCM_14505.goa	1423742	UP000051084_1423742.fasta	Limosilactobacillus equigenerosi DSM 18793 = JCM 14505
Bacteria	1917683.A_sp_Root672.goa	1736584	UP000051125_1736584.fasta	Altererythrobacter sp. Root672
Bacteria	1917711.M_sp_Root135.goa	1736457	UP000051127_1736457.fasta	Mycobacterium sp. Root135
Bacteria	1917749.L_cacaonum_DSM_21116.goa	1423729	UP000051131_1423729.fasta	Liquorilactobacillus cacaonum DSM 21116
Bacteria	1917857.L_siliginis.goa	348151	UP000051139_348151.fasta	Furfurilactobacillus siliginis
Archaea	1917935.M_archaeon_RumEn_M1.goa	1713724	UP000051144_1713724.fasta	Methanomassiliicoccales archaeon RumEn M1
Bacteria	1918003.P_sp_Root1277.goa	1736442	UP000051150_1736442.fasta	Phenylobacterium sp. Root1277
Bacteria	1918139.A_sp_Leaf460.goa	1736384	UP000051159_1736384.fasta	Aureimonas sp. Leaf460
Bacteria	1918266.A_sp_Root456.goa	1736539	UP000051170_1736539.fasta	Angustibacter sp. Root456
Bacteria	1918316.R_sp_Leaf400.goa	1736365	UP000051173_1736365.fasta	Ramlibacter sp. Leaf400
Bacteria	1918353.S_sp_Root264.goa	1736503	UP000051177_1736503.fasta	Streptomyces sp. Root264
Bacteria	1918393.S_sp_Leaf412.goa	1736370	UP000051178_1736370.fasta	Sphingomonas sp. Leaf412
Bacteria	1918450.B_sp_Leaf363.goa	1736353	UP000051182_1736353.fasta	Brevundimonas sp. Leaf363
Bacteria	1918463.T_sp_CECT_5114.goa	1715691	UP000051184_1715691.fasta	Cognatishimia activa
Bacteria	1918683.R_sp_Root29.goa	1736511	UP000051195_1736511.fasta	Rhizobacter sp. Root29
Bacteria	1918752.P_sp_Leaf314.goa	1736333	UP000051200_1736333.fasta	Plantibacter sp. Leaf314
Bacteria	1919008.M_sp_Root61.goa	1736570	UP000051216_1736570.fasta	Microbacterium sp. Root61
Bacteria	1919069.V_furnissii_S0821.goa	29494	UP000051221_29494.fasta	Vibrio furnissii
Bacteria	1919243.L_amylophilus_DSM_20533_=_JCM_1125.goa	1423721	UP000051230_1423721.fasta	Amylolactobacillus amylophilus DSM 20533 = JCM 1125
Bacteria	1919278.L_composti_DSM_18527_=_JCM_14202.goa	1423734	UP000051236_1423734.fasta	Agrilactobacillus composti DSM 18527 = JCM 14202
Bacteria	1919467.P_argentinicus.goa	480391	UP000051249_480391.fasta	Pediococcus argentinicus
Bacteria	1919529.S_koreensis.goa	266128	UP000051254_266128.fasta	Stenotrophomonas koreensis
Bacteria	1919576.L_senioris_DSM_24302_=_JCM_17472.goa	1423802	UP000051256_1423802.fasta	Lentilactobacillus senioris DSM 24302 = JCM 17472
Bacteria	1919789.N_sp_Root151.goa	1736475	UP000051274_1736475.fasta	Nocardioides sp. Root151
Bacteria	1919956.L_aviarius_subsp_araffinosus_DSM_20653.goa	1423820	UP000051291_1423820.fasta	Ligilactobacillus aviarius subsp. araffinosus DSM 20653
Bacteria	1920032.W_halotolerans_DSM_20190.goa	1123500	UP000051296_1123500.fasta	Weissella halotolerans DSM 20190
Bacteria	1920167.N_sp_Root189.goa	1736487	UP000051303_1736487.fasta	Noviherbaspirillum sp. Root189
Bacteria	1920337.L_concavus_DSM_17758.goa	1423735	UP000051315_1423735.fasta	Lapidilactobacillus concavus DSM 17758
Bacteria	1920412.S_sp_Leaf343.goa	1736345	UP000051323_1736345.fasta	Sphingomonas sp. Leaf343
Bacteria	1920459.X_sp_Leaf220.goa	1735686	UP000051325_1735686.fasta	Xylophilus sp. Leaf220
Bacteria	1920751.A_sp_Root123D2.goa	1736436	UP000051348_1736436.fasta	Afipia sp. Root123D2
Bacteria	1921080.S_sp_Leaf339.goa	1736343	UP000051371_1736343.fasta	Sphingomonas sp. Leaf339
Bacteria	1921174.L_floricola_DSM_23037_=_JCM_16512.goa	1423744	UP000051378_1423744.fasta	Holzapfelia floricola DSM 23037 = JCM 16512
Bacteria	1921228.S_chelatiphaga.goa	517011	UP000051386_517011.fasta	Stenotrophomonas chelatiphaga
Bacteria	1921350.N_sp_Root122.goa	1736431	UP000051395_1736431.fasta	Nocardioides sp. Root122
Bacteria	1921413.R_indicus.goa	540747	UP000051401_540747.fasta	Roseovarius indicus
Bacteria	1921463.A_sp_Leaf160.goa	1736280	UP000051403_1736280.fasta	Acidovorax sp. Leaf160
Bacteria	1921469.C_sp_Leaf180.goa	1736289	UP000051405_1736289.fasta	Chryseobacterium sp. Leaf180
Bacteria	1921511.M_sp_Root53.goa	1736553	UP000051407_1736553.fasta	Microbacterium sp. Root53
Bacteria	1921562.N_sp_Root79.goa	1736600	UP000051414_1736600.fasta	Nocardioides sp. Root79
Bacteria	1921796.S_sp_Leaf231.goa	1736301	UP000051427_1736301.fasta	Sphingomonas sp. Leaf231
Bacteria	1921851.P_sp_Root65.goa	1736576	UP000051430_1736576.fasta	Pseudoxanthomonas sp. Root65
Bacteria	1922137.L_similis_DSM_23365_=_JCM_2765.goa	1423804	UP000051442_1423804.fasta	Schleiferilactobacillus similis DSM 23365 = JCM 2765
Bacteria	1922239.L_frumenti_DSM_13145.goa	1423746	UP000051445_1423746.fasta	Limosilactobacillus frumenti DSM 13145
Bacteria	1922305.L_algidus_DSM_15638.goa	1423719	UP000051450_1423719.fasta	Dellaglioa algida DSM 15638
Bacteria	1922312.L_ghanensis_DSM_18630.goa	1423750	UP000051451_1423750.fasta	Liquorilactobacillus ghanensis DSM 18630
Bacteria	1922399.S_sp_Leaf33.goa	1736215	UP000051455_1736215.fasta	Sphingomonas sp. Leaf33
Bacteria	1922404.F_sp_Leaf304.goa	1736329	UP000051456_1736329.fasta	Frondihabitans sp. Leaf304
Bacteria	1922423.A_sp_Leaf443.goa	1736378	UP000051458_1736378.fasta	Aurantimonas sp. Leaf443
Bacteria	1922447.L_bifermentans_DSM_20003.goa	1423726	UP000051461_1423726.fasta	Loigolactobacillus bifermentans DSM 20003
Bacteria	1922463.L_sp_3ANDIMAR09.goa	1225657	UP000051463_1225657.fasta	Loktanella sp. 3ANDIMAR09
Bacteria	1922469.R_sp_Root1221.goa	1736433	UP000051465_1736433.fasta	Rhizobacter sp. Root1221
Bacteria	1922779.C_bacterium_CC99.goa	437022	UP000051494_437022.fasta	Candidatus Berkiella cookevillensis
Bacteria	1922788.N_sp_Leaf285.goa	1736322	UP000051495_1736322.fasta	Nocardioides sp. Leaf285
Bacteria	1922810.C_bacterium_HT99.goa	295108	UP000051497_295108.fasta	Candidatus Berkiella aquae
Bacteria	1922855.L_ceti_DSM_22408.goa	1122146	UP000051500_1122146.fasta	Ligilactobacillus ceti DSM 22408
Eukaryota	1923229.P_neurophilia.goa	146866	UP000051530_146866.fasta	Pseudoloma neurophilia
Bacteria	1923340.M_sp_Leaf446.goa	1736379	UP000051542_1736379.fasta	Marmoricola sp. Leaf446
Bacteria	1923567.P_sp_Leaf267.goa	1736316	UP000051560_1736316.fasta	Pseudorhodoferax sp. Leaf267
Bacteria	1923579.B_thiooxidans.goa	53254	UP000051562_53254.fasta	Bosea thiooxidans
Bacteria	1923629.L_lindneri_DSM_20690_=_JCM_11027.goa	1122148	UP000051565_1122148.fasta	Fructilactobacillus lindneri DSM 20690 = JCM 11027
Bacteria	1923649.P_cellicola.goa	319652	UP000051568_319652.fasta	Pediococcus cellicola
Bacteria	1923671.S_sp_Root720.goa	1736595	UP000051570_1736595.fasta	Sphingomonas sp. Root720
Eukaryota	1923730.O_borbonicus.goa	1629725	UP000051574_1629725.fasta	Oryctes borbonicus
Bacteria	1923758.L_vini_DSM_20605.goa	1133569	UP000051576_1133569.fasta	Liquorilactobacillus vini DSM 20605
Bacteria	1923907.A_sp_Leaf454.goa	1736381	UP000051585_1736381.fasta	Aureimonas sp. Leaf454
Bacteria	1924002.T_gelatinovorus_Ruegeria_gelatinovora.goa	53501	UP000051587_53501.fasta	Thalassobius gelatinovorus
Bacteria	1924292.R_sp_Root404.goa	1736528	UP000051611_1736528.fasta	Rhizobacter sp. Root404
Bacteria	1924424.L_capillatus_DSM_19910.goa	1423731	UP000051621_1423731.fasta	Liquorilactobacillus capillatus DSM 19910
Bacteria	1924479.S_sp_Root241.goa	1736501	UP000051629_1736501.fasta	Sphingomonas sp. Root241
Bacteria	1924654.L_rennini_DSM_20253.goa	1423796	UP000051638_1423796.fasta	Loigolactobacillus rennini DSM 20253
Bacteria	1924664.L_ingluviei.goa	148604	UP000051639_148604.fasta	Limosilactobacillus ingluviei
Bacteria	1924721.A_sp_Leaf289.goa	1736324	UP000051640_1736324.fasta	Aeromicrobium sp. Leaf289
Bacteria	1924731.P_sp_Root563.goa	1736562	UP000051641_1736562.fasta	Phycicoccus sp. Root563
Bacteria	1924733.S_sp_Leaf20.goa	1735685	UP000051642_1735685.fasta	Sphingomonas sp. Leaf20
Bacteria	1924768.S_mishustinae.goa	270918	UP000051643_270918.fasta	Salegentibacter mishustinae
Bacteria	1924795.L_selangorensis.goa	81857	UP000051645_81857.fasta	Lactobacillus selangorensis
