UniProt File Name	Taxon ID	Domain	Scientific Name	Common Name (when available)	Synonym (when available)	Organism Code
UP000001901_572546	572546	Archaea	Archaeoglobus profundus (strain DSM 5631 / JCM 9629 / NBRC 100127 / Av18)	N/A	N/A	ARCPA
UP000001903_543526	543526	Archaea	Haloterrigena turkmenica (strain ATCC 51198 / DSM 5511 / JCM 9101 / NCIMB 13204 / VKM B-1734 / 4k)	Halococcus turkmenicus	N/A	HALTV
UP000001931_339860	339860	Archaea	Methanosphaera stadtmanae (strain ATCC 43021 / DSM 3091 / JCM 11832 / MCB-3)	N/A	N/A	METST
UP000001941_323259	323259	Archaea	Methanospirillum hungatei JF-1 (strain ATCC 27890 / DSM 864 / NBRC 100397 / JF-1)	N/A	N/A	METHJ
UP000001974_273057	273057	Archaea	Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2)	Sulfolobus solfataricus	N/A	SACS2
UP000001975_362976	362976	Archaea	Haloquadratum walsbyi (strain DSM 16790 / HBSQ001)	N/A	N/A	HALWD
UP000001979_259564	259564	Archaea	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	N/A	N/A	METBU
UP000002199_224325	224325	Archaea	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)	N/A	N/A	ARCFU
UP000002315_523846	523846	Archaea	Methanothermus fervidus (strain ATCC 43054 / DSM 2088 / JCM 10308 / V24 S)	N/A	N/A	METFV
UP000002376_633148	633148	Archaea	Thermosphaera aggregans (strain DSM 11486 / M11TL)	N/A	N/A	THEAM
UP000002408_456442	456442	Archaea	Methanoregula boonei (strain DSM 21154 / JCM 14090 / 6A8)	N/A	N/A	METB6
UP000002439_178306	178306	Archaea	Pyrobaculum aerophilum (strain ATCC 51768 / DSM 7523 / JCM 9630 / CIP 104966 / NBRC 100827 / IM2)	N/A	N/A	PYRAE
UP000002457_521011	521011	Archaea	Methanosphaerula palustris (strain ATCC BAA-1556 / DSM 19958 / E1-9c)	N/A	N/A	METPE
UP000002487_188937	188937	Archaea	Methanosarcina acetivorans (strain ATCC 35395 / DSM 2834 / JCM 12185 / C2A)	N/A	N/A	METAC
UP000002518_272557	272557	Archaea	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	N/A	N/A	AERPE
UP000002593_415426	415426	Archaea	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	N/A	N/A	HYPBU
UP000002613_589924	589924	Archaea	Ferroglobus placidus (strain DSM 10642 / AEDII12DO)	N/A	N/A	FERPA
UP000002654_768679	768679	Archaea	Thermoproteus tenax (strain ATCC 35583 / DSM 2078 / JCM 9277 / NBRC 100435 / Kra 1)	N/A	N/A	THETK
UP000002698_348780	348780	Archaea	Natronomonas pharaonis (strain ATCC 35678 / DSM 2160 / CIP 103997 / JCM 8858 / NBRC 14720 / NCIMB 2260 / Gabara)	Halobacterium pharaonis	N/A	NATPD
UP000003484_1072681	1072681	Archaea	Haloredivivus sp. (strain G17)	N/A	N/A	HALSG
UP000003980_671065	671065	Archaea	Metallosphaera yellowstonensis MK1	N/A	N/A	None
UP000004595_751944	751944	Archaea	Halobacterium sp. DL1	N/A	N/A	None
UP000005223_187420	187420	Archaea	Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H)	Methanobacterium thermoautotrophicum	N/A	METTH
UP000005223_187420_additional	187420	Archaea	Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H)	Methanobacterium thermoautotrophicum	N/A	METTH
UP000005270_1184251	1184251	Archaea	Thermogladius calderae (strain DSM 22663 / VKM B-2946 / 1633)	N/A	N/A	THEC1
UP000005741_937775	937775	Archaea	Methanoplanus limicola DSM 2279	N/A	N/A	None
UP000005877_1110509	1110509	Archaea	Methanosaeta harundinacea (strain 6Ac)	N/A	N/A	METH6
UP000006565_679926	679926	Archaea	Methanolacinia petrolearia (strain DSM 11571 / OCM 486 / SEBR 4847)	Methanoplanus petrolearius	N/A	METP4
UP000006622_679901	679901	Archaea	Methanosalsum zhilinae (strain DSM 4017 / NBRC 107636 / OCM 62 / WeN5)	Methanohalophilus zhilinae	N/A	METZD
UP000006663_469382	469382	Archaea	Halogeometricum borinquense (strain ATCC 700274 / DSM 11551 / JCM 10706 / KCTC 4070 / PR3)	N/A	N/A	HALBP
UP000006681_572478	572478	Archaea	Vulcanisaeta distributa (strain DSM 14429 / JCM 11212 / NBRC 100878 / IC-017)	N/A	N/A	VULDI
UP000006794_797210	797210	Archaea	Halopiger xanaduensis (strain DSM 18323 / JCM 14033 / SH-6)	N/A	N/A	HALXS
UP000006903_490899	490899	Archaea	Desulfurococcus amylolyticus (strain DSM 18924 / JCM 16383 / VKM B-2413 / 1221n)	Desulfurococcus kamchatkensis	N/A	DESA1
UP000007391_1163730	1163730	Archaea	Fervidicoccus fontis (strain DSM 19380 / JCM 18336 / VKM B-2539 / Kam940)	N/A	N/A	FERFK
UP000007478_391623	391623	Archaea	Thermococcus barophilus (strain DSM 11836 / MP)	N/A	N/A	THEBM
UP000007490_877455	877455	Archaea	Methanobacterium lacus (strain AL-21)	N/A	N/A	METLA
UP000007722_456320	456320	Archaea	Methanococcus voltae (strain ATCC BAA-1334 / A3)	N/A	N/A	METV3
UP000007807_990316	990316	Archaea	Methanothrix soehngenii (strain ATCC 5969 / DSM 3671 / JCM 10134 / NBRC 103675 / OCM 69 / GP-6)	Methanosaeta concilii	N/A	METSG
UP000008037_1237085	1237085	Archaea	Nitrososphaera gargensis (strain Ga9.2)	N/A	N/A	NITGG
UP000008120_311458	311458	Archaea	Caldiarchaeum subterraneum	N/A	N/A	CALS0
UP000008136_693661	693661	Archaea	Archaeoglobus veneficus (strain DSM 11195 / SNP6)	N/A	N/A	ARCVS
UP000008243_309800	309800	Archaea	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2)	Halobacterium volcanii	N/A	HALVD
UP000008458_933801	933801	Archaea	Acidianus hospitalis (strain W1)	N/A	N/A	ACIHW
UP000008680_634498	634498	Archaea	Methanobrevibacter ruminantium (strain ATCC 35063 / DSM 1093 / JCM 13430 / OCM 146 / M1)	Methanobacterium ruminantium	N/A	METRM
UP000009007_1201294	1201294	Archaea	Methanoculleus bourgensis (strain ATCC 43281 / DSM 3045 / OCM 15 / MS2)	Methanogenium bourgense	N/A	METBM
UP000009079_604354	604354	Archaea	Thermococcus sibiricus (strain DSM 12597 / MM 739)	N/A	N/A	THESM
UP000009227_880724	880724	Archaea	Methanotorris igneus (strain DSM 5666 / JCM 11834 / Kol 5)	N/A	N/A	METIK
UP000009375_662760	662760	Archaea	Candidatus Parvarchaeum acidiphilum ARMAN-4	N/A	N/A	None
UP000009376_662762	662762	Archaea	Candidatus Parvarchaeum acidophilus ARMAN-5	N/A	N/A	None
UP000009379_889948	889948	Archaea	Nanosalina sp. (strain J07AB43)	N/A	N/A	NANS0
UP000009382_889962	889962	Archaea	Nanosalinarum sp. (strain J07AB56)	N/A	N/A	NANSJ
UP000010096_756883	756883	Archaea	halophilic archaeon DL31	N/A	N/A	None
UP000010468_797304	797304	Archaea	Natronobacterium gregoryi (strain ATCC 43098 / DSM 3393 / CCM 3738 / CIP 104747 / IAM 13177 / JCM 8860 / NBRC 102187 / NCIMB 2189 / SP2)	N/A	N/A	NATGS
UP000010469_1056495	1056495	Archaea	Caldisphaera lagunensis (strain DSM 15908 / JCM 11604 / ANMR 0165 / IC-154)	N/A	N/A	CALLD
UP000010824_593750	593750	Archaea	Methanoregula formicica (strain DSM 22288 / NBRC 105244 / SMSP)	N/A	N/A	METFS
UP000010843_797303	797303	Archaea	Natrinema pellirubrum (strain DSM 15624 / CIP 106293 / JCM 10476 / NCIMB 786 / 157)	N/A	N/A	NATP1
UP000010846_797302	797302	Archaea	Halovivax ruber (strain DSM 18193 / JCM 13892 / XH-70)	N/A	N/A	HALRX
UP000010866_867904	867904	Archaea	Methanomethylovorans hollandica (strain DSM 15978 / NBRC 107637 / DMS1)	N/A	N/A	METHD
UP000010878_694430	694430	Archaea	Natronococcus occultus SP4	N/A	N/A	None
UP000011511_1227494	1227494	Archaea	Natrinema altunense JCM 12890	N/A	N/A	None
UP000011513_1227487	1227487	Archaea	Halogeometricum pallidum JCM 14848	N/A	N/A	None
UP000011554_29540	29540	Archaea	Natrialba asiatica (strain ATCC 700177 / DSM 12278 / JCM 9576 / FERM P-10747 / NBRC 102637 / 172P1)	N/A	N/A	NATA1
UP000011555_358396	358396	Archaea	Halobiforma lacisalsi AJ5	N/A	N/A	None
UP000011566_1132509	1132509	Archaea	Halococcus hamelinensis 100A6	N/A	N/A	None
UP000011568_931277	931277	Archaea	Halococcus morrhuae DSM 1307	N/A	N/A	None
UP000011602_1227499	1227499	Archaea	Natronolimnohabitans innermongolicus JCM 12255	N/A	N/A	None
UP000011607_1227454	1227454	Archaea	Halobiforma nitratireducens JCM 10879	N/A	N/A	None
UP000011615_1230457	1230457	Archaea	Haloterrigena limicola JCM 13563	N/A	N/A	None
UP000011626_797114	797114	Archaea	Halosimplex carlsbadense 2-9-1	N/A	N/A	None
UP000011661_1230460	1230460	Archaea	Natronorubrum sulfidifaciens JCM 14089	N/A	N/A	None
UP000011669_1227455	1227455	Archaea	Halococcus saccharolyticus DSM 5350	N/A	N/A	None
UP000011689_1227481	1227481	Archaea	Halorubrum hochstenium ATCC 700873	N/A	N/A	None
UP000011867_268739	268739	Archaea	Natronomonas moolapensis (strain DSM 18674 / CECT 7526 / JCM 14361 / 8.8.11)	N/A	N/A	NATM8
UP000012076_1054217	1054217	Archaea	Thermoplasmatales archaeon (strain BRNA1)	N/A	N/A	THEXX
UP000012672_1236689	1236689	Archaea	Methanomethylophilus alvus (strain Mx1201)	N/A	N/A	METAX
UP000013307_387631	387631	Archaea	Archaeoglobus sulfaticallidus PM70-1	N/A	N/A	None
UP000014065_859192	859192	Archaea	Candidatus Nitrosarchaeum limnium BG20	N/A	N/A	None
UP000014066_224719	224719	Archaea	Methanobrevibacter sp. AbM4	N/A	N/A	None
UP000014070_1295009	1295009	Archaea	Methanomassiliicoccus intestinalis (strain Issoire-Mx1)	N/A	N/A	METII
UP000014072_1333523	1333523	Archaea	Salinarchaeum sp. Harcht-Bsk1	N/A	N/A	None
UP000014660_333146	333146	Archaea	Ferroplasma acidarmanus fer1	N/A	N/A	None
UP000015381_1033806	1033806	Archaea	Halorhabdus tiamatea SARL4B	N/A	N/A	None
UP000015543_1365176	1365176	Archaea	Thermofilum adornatum	N/A	N/A	None
UP000016986_1261545	1261545	Archaea	Halarchaeum acidiphilum MH1-52-1	N/A	N/A	None
UP000017840_1324957	1324957	Archaea	Candidatus Halobonum tyrrellensis G22	N/A	N/A	None
UP000017867_1379702	1379702	Archaea	Methanobacterium sp. MB1	N/A	N/A	None
UP000017931_667138	667138	Archaea	Thermoplasmatales archaeon I-plasma	N/A	N/A	None
UP000018052_667137	667137	Archaea	Thermoplasmatales archaeon E-plasma	N/A	N/A	None
UP000018159_1407055	1407055	Archaea	Candidatus Nitrosotenuis uzonensis	N/A	N/A	None
UP000018202_261391	261391	Archaea	Thermoplasmatales archaeon Gpl	N/A	N/A	None
UP000018337_667135	667135	Archaea	Thermoplasmatales archaeon A-plasma	N/A	N/A	None
UP000018432_1242866	1242866	Archaea	Thermoplasmatales archaeon SCGC AB-540-F20	N/A	N/A	None
UP000018894_1173487	1173487	Archaea	Halorubrum sp. AJ67	N/A	N/A	None
UP000018894_1173487_additional	1173487	Archaea	Halorubrum sp. AJ67	N/A	N/A	None
UP000019024_797299	797299	Archaea	Halostagnicola larsenii XH-48	N/A	N/A	None
UP000019483_1090322	1090322	Archaea	Methanolobus tindarius DSM 2278	N/A	N/A	None
UP000024332_1160895	1160895	Archaea	Candidatus Acidianus copahuensis	N/A	N/A	None
UP000027027_1495067	1495067	Archaea	Halostagnicola sp. A56	N/A	N/A	None
UP000027093_926571	926571	Archaea	Nitrososphaera viennensis EN76	N/A	N/A	None
UP000027153_1392998	1392998	Archaea	Candidatus Methanoperedens nitroreducens	N/A	N/A	None
UP000027153_1392998_additional	1392998	Archaea	Candidatus Methanoperedens nitroreducens	N/A	N/A	None
UP000029384_1502289	1502289	Archaea	Marine Group I thaumarchaeote SCGC AAA799-B03	N/A	N/A	None
UP000029387_1502295	1502295	Archaea	Marine Group I thaumarchaeote SCGC AAA799-P11	N/A	N/A	None
UP000030639_1070774	1070774	Archaea	Halonotius sp. J07HN4	N/A	N/A	None
UP000030642_1238426	1238426	Archaea	Haloquadratum sp. J07HQX50	N/A	N/A	None
UP000030648_1412872	1412872	Archaea	uncultured archaeon A07HB70	N/A	N/A	None
UP000030650_1085028	1085028	Archaea	halophilic archaeon J07HX64	N/A	N/A	None
UP000030660_1412871	1412871	Archaea	uncultured archaeon A07HR67	N/A	N/A	None
UP000030667_1412873	1412873	Archaea	uncultured archaeon A07HN63	N/A	N/A	None
UP000030674_1085029	1085029	Archaea	halophilic archaeon J07HB67	N/A	N/A	None
UP000030679_1412874	1412874	Archaea	uncultured archaeon A07HR60	N/A	N/A	None
UP000030787_1577791	1577791	Archaea	Candidatus Methanoplasma termitum	N/A	N/A	None
UP000030944_1410606	1410606	Archaea	Candidatus Nitrosopelagicus brevis	N/A	N/A	None
UP000031311_1502290	1502290	Archaea	Marine Group I thaumarchaeote SCGC AAA799-D07	N/A	N/A	None
UP000031363_1502294	1502294	Archaea	Marine Group I thaumarchaeote SCGC AAA799-O18	N/A	N/A	None
UP000031483_1198115	1198115	Archaea	Thaumarchaeota archaeon SCGC AB-539-E09	N/A	N/A	None
UP000033049_1434100	1434100	Archaea	Methanosarcina sp. MTP4	N/A	N/A	None
UP000034723_113653	113653	Archaea	Geoglobus ahangari	N/A	N/A	None
UP000050301_312540	312540	Archaea	Acidiplasma cupricumulans	N/A	N/A	None
UP000050535_699431	699431	Archaea	Halolamina pelagica	N/A	N/A	None
UP000051144_1713724	1713724	Archaea	Methanomassiliicoccales archaeon RumEn M1	N/A	N/A	None
UP000053279_1294122	1294122	Archaea	Nanobsidianus stetteri	N/A	N/A	NANST
UP000053331_2248	2248	Archaea	Halorubrum saccharovorum	N/A	N/A	None
UP000053352_2309	2309	Archaea	Pyrodictium occultum	N/A	N/A	PYROC
UP000053361_1242690	1242690	Archaea	Thermoplasmatales archaeon SCGC AB-539-C06	N/A	N/A	None
UP000053694_1325472	1325472	Archaea	halophilic archaeon J07HX5	N/A	N/A	None
UP000053781_1198116	1198116	Archaea	Thermoplasmatales archaeon SCGC AB-539-N05	N/A	N/A	None
UP000053922_1713725	1713725	Archaea	Methanomassiliicoccales archaeon RumEn M2	N/A	N/A	None
UP000054200_1527301	1527301	Archaea	Nitrosopumilus sp. PRT-SC01	N/A	N/A	None
UP000054237_1769296	1769296	Archaea	Candidatus Methanomethylophilus sp. 1R26	N/A	N/A	None
UP000054284_1326980	1326980	Archaea	Candidatus Aramenus sulfurataquae	N/A	N/A	None
UP000054356_1238428	1238428	Archaea	Halorubrum sp. J07HR59	N/A	N/A	None
UP000054387_1514971	1514971	Archaea	Haloprofundus marisrubri	N/A	N/A	None
UP000058290_1495144	1495144	Archaea	Thermoplasmatales archaeon (strain ISO4-H5)	N/A	N/A	THEX5
UP000060778_940295	940295	Archaea	Ignicoccus islandicus DSM 13165	N/A	N/A	None
UP000066737_1407499	1407499	Archaea	Halobacterium hubeiense	N/A	N/A	None
UP000067434_1550241	1550241	Archaea	Infirmifilum uzonense	N/A	N/A	None
UP000069850_83986	83986	Archaea	Methanoculleus bourgensis	N/A	N/A	None
UP000069906_1604004	1604004	Archaea	Halanaeroarchaeum sulfurireducens	N/A	N/A	None
UP000070035_1698274	1698274	Archaea	candidate division MSBL1 archaeon SCGC-AAA261F17	N/A	N/A	None
UP000070038_1698258	1698258	Archaea	candidate division MSBL1 archaeon SCGC-AAA833K04	N/A	N/A	None
UP000070076_1698277	1698277	Archaea	candidate division MSBL1 archaeon SCGC-AAA261O19	N/A	N/A	None
UP000070155_1698266	1698266	Archaea	candidate division MSBL1 archaeon SCGC-AAA259I07	N/A	N/A	None
UP000070163_1698259	1698259	Archaea	candidate division MSBL1 archaeon SCGC-AAA259A05	N/A	N/A	None
UP000070171_1698288	1698288	Archaea	candidate division MSBL1 archaeon SCGC-AAA385M11	N/A	N/A	None
UP000070175_1698285	1698285	Archaea	candidate division MSBL1 archaeon SCGC-AAA382N08	N/A	N/A	None
UP000070184_1698260	1698260	Archaea	candidate division MSBL1 archaeon SCGC-AAA259B11	N/A	N/A	None
UP000070195_1698262	1698262	Archaea	candidate division MSBL1 archaeon SCGC-AAA259D18	N/A	N/A	None
UP000070248_1698287	1698287	Archaea	candidate division MSBL1 archaeon SCGC-AAA385M02	N/A	N/A	None
UP000070256_1698286	1698286	Archaea	candidate division MSBL1 archaeon SCGC-AAA385D11	N/A	N/A	None
UP000070257_1698269	1698269	Archaea	candidate division MSBL1 archaeon SCGC-AAA259J03	N/A	N/A	None
UP000070263_1698280	1698280	Archaea	candidate division MSBL1 archaeon SCGC-AAA382A20	N/A	N/A	None
UP000070284_1698264	1698264	Archaea	candidate division MSBL1 archaeon SCGC-AAA259E19	N/A	N/A	None
UP000070311_1698279	1698279	Archaea	candidate division MSBL1 archaeon SCGC-AAA382A13	N/A	N/A	None
UP000070341_1698270	1698270	Archaea	candidate division MSBL1 archaeon SCGC-AAA259M10	N/A	N/A	None
UP000070344_1698271	1698271	Archaea	candidate division MSBL1 archaeon SCGC-AAA259O05	N/A	N/A	None
UP000070373_1698263	1698263	Archaea	candidate division MSBL1 archaeon SCGC-AAA259E17	N/A	N/A	None
UP000070399_1698257	1698257	Archaea	candidate division MSBL1 archaeon SCGC-AAA833F18	N/A	N/A	None
UP000070400_1698273	1698273	Archaea	candidate division MSBL1 archaeon SCGC-AAA261D19	N/A	N/A	None
UP000070404_1698281	1698281	Archaea	candidate division MSBL1 archaeon SCGC-AAA382C18	N/A	N/A	None
UP000070405_1698276	1698276	Archaea	candidate division MSBL1 archaeon SCGC-AAA261G05	N/A	N/A	None
UP000070414_1698268	1698268	Archaea	candidate division MSBL1 archaeon SCGC-AAA259I14	N/A	N/A	None
UP000070463_1698267	1698267	Archaea	candidate division MSBL1 archaeon SCGC-AAA259I09	N/A	N/A	None
UP000070491_1698282	1698282	Archaea	candidate division MSBL1 archaeon SCGC-AAA382F02	N/A	N/A	None
UP000070504_1698283	1698283	Archaea	candidate division MSBL1 archaeon SCGC-AAA382K21	N/A	N/A	None
UP000070520_1698272	1698272	Archaea	candidate division MSBL1 archaeon SCGC-AAA261C02	N/A	N/A	None
UP000070549_1698278	1698278	Archaea	candidate division MSBL1 archaeon SCGC-AAA382A03	N/A	N/A	None
UP000070565_1698275	1698275	Archaea	candidate division MSBL1 archaeon SCGC-AAA261F19	N/A	N/A	None
UP000070589_1698261	1698261	Archaea	candidate division MSBL1 archaeon SCGC-AAA259D14	N/A	N/A	None
UP000070633_1698284	1698284	Archaea	candidate division MSBL1 archaeon SCGC-AAA382M17	N/A	N/A	None
UP000070657_1698265	1698265	Archaea	candidate division MSBL1 archaeon SCGC-AAA259E22	N/A	N/A	None
UP000076599_1679489	1679489	Archaea	Haladaptatus sp. R4	N/A	N/A	None
UP000077066_55758	55758	Archaea	Methanobrevibacter filiformis	N/A	N/A	None
UP000077245_49547	49547	Archaea	Methanobrevibacter curvatus	N/A	N/A	None
UP000077275_47311	47311	Archaea	Methanobrevibacter cuticularis	N/A	N/A	None
UP000094058_1849261	1849261	Archaea	Candidatus Altiarchaeales archaeon WOR_SM1_SCG	N/A	N/A	None
UP000094707_118062	118062	Archaea	Methanobacterium congolense	N/A	N/A	None
UP000094736_1860100	1860100	Archaea	Methanobacterium sp. A39	N/A	N/A	None
UP000183275_1202768	1202768	Archaea	Halopiger salifodinae	N/A	N/A	None
UP000184145_1531428	1531428	Archaea	Candidatus Micrarchaeum sp. AZ1	N/A	N/A	None
UP000184357_43928	43928	Archaea	Halobaculum gomorrense	N/A	N/A	None
UP000185687_588898	588898	Archaea	Haloterrigena daqingensis	N/A	N/A	None
UP000185744_1903181	1903181	Archaea	Candidatus Methanohalarchaeum thermophilum	N/A	N/A	None
UP000185779_1839936	1839936	Archaea	Candidatus Syntrophoarchaeum butanivorans	N/A	N/A	None
UP000186165_1873524	1873524	Archaea	Halodesulfurarchaeum formicicum	N/A	N/A	None
UP000186914_553468	553468	Archaea	Haladaptatus litoreus	N/A	N/A	None
UP000186940_1838285	1838285	Archaea	Candidatus Syntrophoarchaeum caldarius	N/A	N/A	None
UP000187924_1932360	1932360	Archaea	Halorientalis sp. IM1011	N/A	N/A	None
UP000191169_1853690	1853690	Archaea	Halolamina sp. CBA1230	N/A	N/A	None
UP000191661_1300164	1300164	Archaea	Methanobrevibacter arboriphilus JCM 13429 = DSM 1125	N/A	N/A	None
UP000195137_1927129	1927129	Archaea	Methanonatronarchaeum thermophilum	N/A	N/A	None
UP000196084_253108	253108	Archaea	Natronolimnobius baerhuensis	N/A	N/A	None
UP000196489_1932700	1932700	Archaea	archaeon D22	N/A	N/A	None
UP000197679_1920749	1920749	Archaea	Candidatus Mancarchaeum acidiphilum	N/A	N/A	None
UP000197915_1961136	1961136	Archaea	Thermoplasmatales archaeon B_DKE	N/A	N/A	None
UP000198397_63740	63740	Archaea	Halorubrum vacuolatum	Natronobacterium vacuolatum	N/A	HALVU
UP000198518_355548	355548	Archaea	Halobacterium jilantaiense	N/A	N/A	None
UP000198856_890420	890420	Archaea	Halovenus aranensis	N/A	N/A	None
UP000198888_1073996	1073996	Archaea	Halohasta litchfieldiae	N/A	N/A	None
UP000199062_767519	767519	Archaea	Halomicrobium zhouii	N/A	N/A	None
UP000199170_660517	660517	Archaea	Halobellus clavatus	N/A	N/A	None
UP000199215_1267564	1267564	Archaea	Halopenitus malekzadehii	N/A	N/A	None
UP000199289_1236180	1236180	Archaea	Halopelagius longus	N/A	N/A	None
UP000199370_996166	996166	Archaea	Haloarchaeobius iranensis	N/A	N/A	None
UP000199451_660521	660521	Archaea	Halogranum gelatinilyticum	N/A	N/A	None
